185	Conan O'Brien Wants to Scare Himself with the New, Shorter Conan (via nytimes.com)
186	Here's to an Epic 2019 in 7 steps (via khehy.com)
187	How Fader Magazine And Its Creative Agency Are Bucking Traditions To Shape Culture (via fastcompany.com)
188	2019 Predictions (via l2inc.com)
189	Andrew Zimmern's Nonstop Road and Food Show (via nytimes.com)
190	Andrea Zittel, These things I know for sure (via wtf.tw)
191	The Psychology of Money (via collaborativefund.com)
192	Reflections on 15 Years. (via 3sixteen.com)
193	The Unifying Theory of Alcohol - Dan Kieran - Medium (via medium.com)
194	The Unifying Theory of Alcohol - Dan Kieran - Medium (via medium.com)
195	The Unifying Theory of Alcohol - Dan Kieran - Medium (via medium.com)
196	He Testified Against His Son, But Came to Blame the Gun (via thetrace.org)
197	Can a Quote-Unquote Band Drag Rock Into the Future? (via nytimes.com)
198	The Search for Good Vibes (via billboard.com)
199	Oh Please Stop Saying Please (via nytimes.com)
200	Why you should surround yourself with more books than you'll ever have time to read (via fastcompany.com)
